"","brand","emotion","age","n"
"290","bonkers","neutral",46,16
"291","bonkers","joy",39,15
"292","bonkers","neutral",20,15
"293","bonkers","despair",67,14
"294","bonkers","despair",61,13
"295","bonkers","neutral",18,13
"296","bonkers","neutral",23,13
"297","bonkers","neutral",54,13
"298","bonkers","despair",64,12
"299","bonkers","joy",46,12
"300","bonkers","neutral",19,12
"301","bonkers","neutral",48,12
"302","bonkers","despair",12,11
"303","bonkers","despair",63,11
"304","bonkers","despair",65,11
"305","bonkers","joy",30,11
"306","bonkers","joy",31,11
"307","bonkers","despair",66,10
"308","bonkers","joy",28,10
"309","bonkers","joy",47,10
"310","bonkers","joy",50,10
"311","bonkers","neutral",53,10
"312","bonkers","neutral",56,10
"313","bonkers","neutral",58,10
"314","bonkers","despair",14,9
"315","bonkers","despair",15,9
"316","bonkers","joy",29,9
"317","bonkers","neutral",49,9
"318","bonkers","neutral",52,9
"319","bonkers","neutral",59,9
"320","bonkers","despair",69,8
"321","bonkers","joy",41,8
"322","bonkers","joy",44,8
"323","bonkers","neutral",13,8
"324","bonkers","neutral",51,8
"325","bonkers","neutral",57,8
"326","bonkers","joy",25,7
"327","bonkers","joy",51,7
"328","bonkers","joy",53,7
"329","bonkers","neutral",50,7
"330","bonkers","neutral",55,7
"331","bonkers","joy",24,6
"332","bonkers","joy",26,6
"333","bonkers","joy",27,6
"334","bonkers","joy",48,6
"335","bonkers","joy",49,6
"336","bonkers","joy",54,6
"337","bonkers","neutral",14,6
"338","bonkers","neutral",17,6
"339","bonkers","despair",9,5
"340","bonkers","despair",70,5
"341","bonkers","joy",21,5
"342","bonkers","joy",52,5
"343","bonkers","neutral",64,5
"344","bonkers","neutral",65,5
"345","bonkers","neutral",67,5
"346","bonkers","neutral",70,5
"347","bonkers","despair",68,4
"348","bonkers","despair",72,4
"349","bonkers","joy",17,4
"350","bonkers","despair",10,3
"351","bonkers","despair",11,3
"352","bonkers","despair",71,3
"353","bonkers","despair",74,3
"354","bonkers","joy",9,3
"355","bonkers","joy",11,3
"356","bonkers","joy",62,3
"357","bonkers","neutral",8,3
"358","bonkers","neutral",60,3
"359","bonkers","neutral",61,3
"360","bonkers","neutral",66,3
"361","bonkers","despair",6,2
"362","bonkers","despair",75,2
"363","bonkers","joy",18,2
"364","bonkers","joy",23,2
"365","bonkers","joy",57,2
"366","bonkers","joy",58,2
"367","bonkers","joy",60,2
"368","bonkers","joy",61,2
"369","bonkers","neutral",6,2
"370","bonkers","neutral",11,2
"371","bonkers","neutral",16,2
"372","bonkers","neutral",63,2
"373","bonkers","neutral",71,2
"374","bonkers","despair",5,1
"375","bonkers","despair",7,1
"376","bonkers","despair",8,1
"377","bonkers","despair",77,1
"378","bonkers","despair",85,1
"379","bonkers","despair",97,1
"380","bonkers","despair",99,1
"381","bonkers","joy",10,1
"382","bonkers","joy",13,1
"383","bonkers","joy",16,1
"384","bonkers","joy",20,1
"385","bonkers","joy",22,1
"386","bonkers","joy",55,1
"387","bonkers","joy",59,1
"388","bonkers","joy",69,1
"389","bonkers","neutral",7,1
"390","bonkers","neutral",9,1
"391","bonkers","neutral",10,1
"392","bonkers","neutral",12,1
"393","bonkers","neutral",15,1
"394","bonkers","neutral",62,1
"395","bonkers","neutral",68,1
"396","bonkers","neutral",72,1
"397","bonkers","neutral",75,1
"398","bonkers","neutral",99,1
"399","bubble gum","despair",35,188
"400","bubble gum","despair",32,171
