"brand","emotion","age","n"
"butterfinger","joy",63,9
"butterfinger","joy",65,9
"butterfinger","neutral",43,9
"butterfinger","despair",55,8
"butterfinger","despair",57,8
"butterfinger","neutral",21,8
"butterfinger","neutral",25,8
"butterfinger","neutral",38,8
"butterfinger","neutral",45,8
"butterfinger","neutral",50,8
"butterfinger","despair",14,7
"butterfinger","despair",20,7
"butterfinger","despair",59,7
"butterfinger","joy",70,7
"butterfinger","neutral",32,7
"butterfinger","neutral",47,7
"butterfinger","despair",16,6
"butterfinger","despair",53,6
"butterfinger","despair",56,6
"butterfinger","despair",60,6
"butterfinger","despair",64,6
"butterfinger","despair",65,6
"butterfinger","joy",9,6
"butterfinger","joy",14,6
"butterfinger","joy",64,6
"butterfinger","joy",69,6
"butterfinger","neutral",20,6
"butterfinger","neutral",26,6
"butterfinger","neutral",28,6
"butterfinger","neutral",41,6
"butterfinger","neutral",46,6
"butterfinger","despair",15,5
"butterfinger","joy",11,5
"butterfinger","joy",15,5
"butterfinger","neutral",54,5
"butterfinger","neutral",55,5
"butterfinger","neutral",56,5
"butterfinger","neutral",58,5
"butterfinger","neutral",64,5
"butterfinger","despair",54,4
"butterfinger","joy",10,4
"butterfinger","joy",71,4
"butterfinger","neutral",13,4
"butterfinger","neutral",22,4
"butterfinger","neutral",48,4
"butterfinger","neutral",52,4
"butterfinger","neutral",59,4
"butterfinger","despair",9,3
"butterfinger","despair",11,3
"butterfinger","despair",61,3
"butterfinger","despair",62,3
"butterfinger","despair",63,3
"butterfinger","despair",69,3
"butterfinger","joy",8,3
"butterfinger","joy",68,3
"butterfinger","joy",74,3
"butterfinger","joy",75,3
"butterfinger","neutral",19,3
"butterfinger","neutral",23,3
"butterfinger","neutral",67,3
"butterfinger","despair",66,2
"butterfinger","despair",67,2
"butterfinger","despair",68,2
"butterfinger","despair",70,2
"butterfinger","despair",72,2
"butterfinger","joy",6,2
"butterfinger","joy",72,2
"butterfinger","neutral",6,2
"butterfinger","neutral",14,2
"butterfinger","neutral",18,2
"butterfinger","neutral",57,2
"butterfinger","despair",7,1
"butterfinger","despair",10,1
"butterfinger","despair",12,1
"butterfinger","joy",5,1
"butterfinger","joy",7,1
"butterfinger","joy",77,1
"butterfinger","joy",85,1
"butterfinger","joy",97,1
"butterfinger","joy",99,1
"butterfinger","neutral",8,1
"butterfinger","neutral",16,1
"butterfinger","neutral",49,1
"butterfinger","neutral",51,1
"butterfinger","neutral",53,1
"butterfinger","neutral",60,1
"butterfinger","neutral",61,1
"butterfinger","neutral",62,1
"butterfinger","neutral",63,1
"butterfinger","neutral",65,1
"butterfinger","neutral",66,1
"butterfinger","neutral",70,1
"butterfinger","neutral",71,1
"butterfinger","neutral",72,1
"butterfinger","neutral",99,1
"caramellos","joy",35,149
"caramellos","joy",30,146
"caramellos","joy",31,139
"caramellos","joy",34,133
"caramellos","joy",32,129
"caramellos","joy",33,127
"caramellos","joy",45,116
"caramellos","joy",38,113
"caramellos","joy",36,108
"caramellos","joy",40,108
"caramellos","joy",29,107
"caramellos","joy",37,101
"caramellos","joy",43,92
"caramellos","joy",27,91
"caramellos","joy",39,87
"caramellos","joy",28,86
"caramellos","joy",44,83
"caramellos","joy",26,80
"caramellos","joy",41,79
"caramellos","joy",46,74
"caramellos","despair",32,73
"caramellos","despair",33,73
"caramellos","joy",42,70
"caramellos","despair",30,65
"caramellos","despair",27,64
"caramellos","despair",35,64
"caramellos","despair",26,62
"caramellos","despair",45,62
"caramellos","despair",31,61
"caramellos","joy",25,60
"caramellos","despair",34,57
"caramellos","joy",50,57
"caramellos","despair",28,56
"caramellos","despair",29,56
"caramellos","despair",24,54
"caramellos","despair",37,49
"caramellos","despair",46,46
"caramellos","joy",47,46
"caramellos","joy",48,46
"caramellos","despair",42,45
"caramellos","joy",52,44
"caramellos","joy",24,43
"caramellos","joy",22,42
"caramellos","despair",36,41
"caramellos","joy",51,41
"caramellos","despair",25,40
"caramellos","despair",44,40
"caramellos","joy",23,38
"caramellos","joy",49,38
"caramellos","despair",40,37
"caramellos","despair",50,37
"caramellos","joy",53,37
"caramellos","despair",38,33
"caramellos","despair",47,33
"caramellos","joy",54,33
"caramellos","despair",23,31
"caramellos","despair",39,30
"caramellos","joy",57,29
"caramellos","neutral",30,28
"caramellos","neutral",35,28
"caramellos","joy",55,27
"caramellos","despair",21,26
"caramellos","despair",52,26
"caramellos","joy",21,26
"caramellos","despair",41,25
"caramellos","despair",48,25
"caramellos","despair",43,24
"caramellos","despair",49,24
"caramellos","joy",58,24
"caramellos","neutral",27,24
"caramellos","neutral",28,24
"caramellos","neutral",34,24
"caramellos","joy",56,23
"caramellos","despair",19,22
"caramellos","despair",22,22
"caramellos","joy",20,22
"caramellos","neutral",32,22
"caramellos","despair",51,20
"caramellos","despair",55,20
"caramellos","despair",58,20
"caramellos","joy",18,20
"caramellos","neutral",24,20
"caramellos","joy",62,18
"caramellos","neutral",25,18
"caramellos","neutral",29,18
"caramellos","neutral",31,18
"caramellos","neutral",36,18
"caramellos","neutral",33,17
"caramellos","neutral",42,17
"caramellos","neutral",40,16
"caramellos","joy",17,14
"caramellos","joy",19,14
"caramellos","joy",59,14
"caramellos","joy",60,14
"caramellos","joy",61,14
"caramellos","despair",20,13
"caramellos","despair",54,13
"caramellos","neutral",26,13
"caramellos","despair",18,12
"caramellos","despair",53,12
"caramellos","despair",56,12
"caramellos","neutral",20,12
"caramellos","neutral",38,12
"caramellos","neutral",39,12
"caramellos","neutral",41,12
"caramellos","neutral",45,12
"caramellos","despair",16,11
"caramellos","joy",65,11
"caramellos","neutral",44,11
"caramellos","despair",17,10
"caramellos","joy",13,10
"caramellos","neutral",21,10
"caramellos","neutral",22,10
"caramellos","neutral",37,10
"caramellos","despair",13,9
"caramellos","despair",57,9
"caramellos","despair",59,9
"caramellos","despair",60,9
"caramellos","joy",12,9
"caramellos","joy",66,9
"caramellos","neutral",43,9
"caramellos","neutral",47,9
"caramellos","joy",15,8
"caramellos","joy",16,8
"caramellos","neutral",23,8
"caramellos","neutral",54,8
"caramellos","despair",63,7
"caramellos","despair",67,7
"caramellos","joy",64,7
"caramellos","joy",67,7
"caramellos","neutral",18,7
"caramellos","neutral",58,7
"caramellos","despair",70,6
"caramellos","joy",14,6
"caramellos","neutral",13,6
"caramellos","neutral",19,6
"caramellos","neutral",46,6
"caramellos","neutral",49,6
"caramellos","neutral",53,6
"caramellos","neutral",57,6
"caramellos","despair",14,5
"caramellos","despair",62,5
"caramellos","despair",64,5
"caramellos","joy",63,5
"caramellos","neutral",51,5
"caramellos","neutral",64,5
"caramellos","neutral",67,5
"caramellos","despair",65,4
"caramellos","despair",69,4
"caramellos","joy",9,4
"caramellos","joy",10,4
"caramellos","joy",11,4
"caramellos","joy",69,4
"caramellos","joy",72,4
"caramellos","neutral",14,4
"caramellos","neutral",52,4
"caramellos","neutral",55,4
"caramellos","neutral",59,4
"caramellos","despair",11,3
"caramellos","despair",12,3
"caramellos","despair",61,3
"caramellos","despair",66,3
"caramellos","despair",74,3
"caramellos","joy",6,3
"caramellos","joy",68,3
"caramellos","neutral",9,3
"caramellos","neutral",17,3
"caramellos","neutral",48,3
"caramellos","neutral",50,3
"caramellos","neutral",60,3
"caramellos","despair",9,2
"caramellos","despair",15,2
"caramellos","despair",68,2
"caramellos","despair",71,2
"caramellos","joy",7,2
"caramellos","joy",8,2
"caramellos","joy",70,2
"caramellos","joy",71,2
"caramellos","neutral",8,2
"caramellos","neutral",16,2
"caramellos","neutral",56,2
"caramellos","neutral",70,2
"caramellos","despair",6,1
"caramellos","despair",10,1
"caramellos","despair",75,1
"caramellos","despair",85,1
"caramellos","despair",99,1
"caramellos","joy",5,1
"caramellos","joy",75,1
"caramellos","joy",77,1
"caramellos","joy",97,1
"caramellos","neutral",11,1
"caramellos","neutral",61,1
"caramellos","neutral",62,1
